candidate_30k_count,candidate_50k_count,candidate_60k_count,candidate_75k_count,error,page_count,status,token_count,wallet,x_max_realized_lot_multiple_from_seed,x_token_mints
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,Fgn7FjXn77RRTG94Hayeja6xxRuKB8zkzcVmFU3Tqo23,378.0828234442671,33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,4LcCHiXLydzePUy3zt7HCdw9eFJDL8bWXZFRVcagak8y,156.95902052260934,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,6ud7KC9oL224NWAfRFKPH7Rjw6P9JuXQ5HabnaEr9XCW,40.23781492842773,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,EkpdJ1HVckTnkD8MZnkgX3yULQmQiB2qUMbvJYPDvgLg,49.99462528223098,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,HZqQJv9uoz4piVYkvVo7rAewpifYfD2bw56AArr4VNR,71.07379945221506,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,3a9qSKrFt6EzQ9YKbYVP4TGWriNn4ccvxjjoB3zAoQga,25.72588947662829,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,5p9WLhi7NEs2w1NfrhLqLbUcmUTxJe6JykR3B9zwg9A9,634.3384752596306,3xQPNZ3RrBvGrrgZEqaKFueeQ8FBpFKPTFe8bwVkpump|DtHTTtiE4Aex3BzLZLi3og1bgMgvh6G1X7mKcykVpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,HS7WBqRw8EfZkww3pduTvPesJNqLPEsZtyasoUc6zoZd,314.37364599282927,4aWgifrcupQGzjuWzq8bEcS5yZFj92PW3TBN4CSVpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,FBWUTiZbhVGJfcTJxZugu8yq7CQcZWnc1i1NZK8fgbXG,284.7242997279185,4ko5tSr5o3H4v1sFtjTSd9MPUW7yx5AFCpkNPoL6pump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,4DPu5AhRHHQoRCHogzH7dN1nvRDwR8p5qUWgSWLf9zW2,6841.6271552171775,57gXi7ZmsgkoXiPeg7CAN5oLmKBem8XWJknJUpHypump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,CiFx62aqk1LGig35cf7F36qfFeKgJnYNooeXjw3mxQzs,1818.3070609549256,59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,HeQkm8EAHM64zY9a75XULRT6rCRiQC3sAo3DeMBNYyFH,225.1918029486433,59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,DMnX6kJe2ajEYdpJe3tMX5aVQDtQR7Gf38S2tnqfoV2L,426.1852342271019,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,5CDYEbtEsg9wZpmRs5j7P4WXy4FS9AU1EKbqFS8wqTth,56.126974334651,6M8sWsmxTdRaX8sMeHXKDrRe3sbAaGC3KyMgwvTSWfju
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,CgCm3rS1NMhzdnao1MF239HTZpBNCqvRJdQHvmjbKbYG,295.4274191359468,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,Dr4Rwx8iADYJkpjQz64pEU5bzN3D2rDjUaHG8hVBhNE7,813.7264271626506,7LPsiq8ur4DB93mCk9kcF7g6WSgnF9U1x4FSePH4pump|7wjqrmM5yQC4YgjTnTyuj8cGDkUwxhq6nsDN9zH7pump|AHT1bswcRGDhYjRhDHUwGdmhPgvftxr3yPDdqv9opump|FVbMi3DznQjAGUUUsg3pkKmDcVT6rvq7UwbajKnWpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,CpLuogVckAXS7BK7JwDRRqL1F5kuJ6qvsd8A8ePwDRsi,93.29255440197583,8AdsF2QXFA8QkFuQ9TrQW6nEyM4E6yT4AwqgZ5cTpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,FxoFZnwQYghcdu3CJqPRkdy9ULmUR1VEkSLQ1x5ZAo44,666.0919535105423,8H9RDAUyYNMr6Y6nsBb8bBV45XnpW9VQfCKFbyfhpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,6rwXnAp6EfgfRAqaiq3zTRaBrAuNKc4CGRq7y6QesSCL,263.7546739701423,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,3fKjhuLPTbH7Rqc2AwiCGevE5zV6bvpDzkT4RaZZepDC,3278.544299584953,8TnbbiNsrpbF63jt56RyRj7EQfrZd45dpa2U92Wkpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,62YaAGDBDSDpTnPN7MsmXKdYNa9az5Frio6AZ4R3EsEj,22741.22561998843,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,2wHHnAmdhFaAAsayWAeqKe3snK3KkbRQkRgLwTtz7iCi,83.15205306396066,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,8vufgWCQSP1iJoAxyMeogahnzzEcioo6T8eMRWkHcYuT,1916.6044939890955,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,FmxjNGimRGPAV4DYPjZW2mLjm9KH97YXE8beri17TPMc,1686.818829180624,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,7zH2dAhZ2JJy7BF2xN6zFFYgVayL1Hidk9MT6CZyU6CK,819.1875229093329,A211pJ1J7CkXaYDQMWzFGqVrc8UK8A8fMoALq9dspump
0,0,0,0,"/wallet/v2/pnl/details: HTTP 400; {""success"": false, ""message"": ""Compute units usage limit exceeded""}",0,incomplete_error,0,2WTfeKTW47SEbJMxweafiQpR9vCnNijNS2htdKZUqLjp,462.6808045114655,A6yFHVGbZpAomgmKTA3vRqvo5HR5ixrzHCtihww8pump
