token_mint,token_symbol,token_name,token_supply_used,wallet,tier,api_status,strict_direct_swap_pass,strict_clean_pass,transfer_contamination_signal,cluster_trace_priority,minimum_actual_buy_market_cap_usd,max_realized_lot_multiple,passing_allocations_realized_profit_usd,history_transfer_out_income_usd,transfer_in
5qF61qfmLvRPvAWiGN88zt7B6qpL1ephHuCD6JHtpump,Trumpler,Adolf Trumpler,999986684,6wFo2C6tV6DiVUqkwjj5WHpLtFQeA2mmJGxn1K8MiD78,B,ok,False,False,True,HIGH,7381170.099030745,,0.0,495022.6135540836,False
5tMkfHAXj5KxcVMqZUaomthTrqvjwNxWs3WwNg41pump,DRONE,DRONE,999998062,82vDRwsebqxJWJPcnT9w6ECny8r2ry5EovP4Dkkt6phB,B,ok,False,False,True,HIGH,,,0.0,0.0,False
6FDCCa8Ghs3j12iCWE4pN181b48HFmK8PsHa7nz8pump,TRUMP2,American Dominance,999974347,CY33mYBGZDz8XW6A6rCwUzRkXfjLCw1N4sahdLYT5yYB,B,ok,False,False,True,HIGH,12872768.435006844,,0.0,522951.15923458384,False
6M8sWsmxTdRaX8sMeHXKDrRe3sbAaGC3KyMgwvTSWfju,Tsuncoin,Tsundere Coin,999024275,X23REkUmGPAYtj1zc77tz5ofGmTqhEP5JB3NNn2R3CG,A,ok,True,True,False,MEDIUM,3176.778567055811,53.39851114852889,3652.1239732910326,0.0,False
6baGyq4HLbUn93MQUGFqBktpXP8BRjpoxSsAap4ppump,LEVI,The White Bull,999979253,A2XqEiR18CMSk5CQwt6gsKwCnw1Xduyn4BDLnRmWZ18s,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6bo24bcyFELFKJJKSvNrWPHqWYxJi48PrwQ3R1fmpump,Wcoin,chasing that w ,1999593183,3L9DZ8Qwy87Pupsgv5kqWRWemfosCQaQMv8U5H27PUWH,B,ok,False,False,True,HIGH,,,0.0,146574.037584175,False
6bo24bcyFELFKJJKSvNrWPHqWYxJi48PrwQ3R1fmpump,Wcoin,chasing that w ,1999593183,FgVLe1HF4XiYX8H3sBHXM4psMUs4AvEXKV3F6d1LoyjX,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump,TOESCOIN,TOES,999944950,3L5MjYPWpxT7qbeQAbtqEZTCsNysEbiT2Vj26nr7TsSY,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump,TOESCOIN,TOES,999944950,4ziYEjZC19DCrpc3TRvLaeNyUmN58cuKwMxTdSFwJW4z,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump,TOESCOIN,TOES,999944950,9MbwRTGR5vSAQbvHuoJyvVBQy8MHPyeeXJtC7AR2LSp2,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump,TOESCOIN,TOES,999944950,CkEW4ksmcF8R6YZgmtqrQTLbAaiNwsrkuabPDqzr1Jzq,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump,TOESCOIN,TOES,999944950,EfsQ1BK4wHKT2GC19efoU6jb2s9UQBxsyXA9VCk3BGt3,A,ok,False,False,True,HIGH,,,0.0,0.0,False
6kStJjjHJCtnrtaWyvcBym1Hs2NsswYmcx1q1wdLpump,NOX,Black Sheep,1999473018,5w45zocmbZ47T2URwpPvZwysDqYUPufsw1Mm4scB3xFf,A,ok,False,False,True,HIGH,,,0.0,0.0,False
7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,954862809,21cutQKXw6opqwAcUfVVSDFbjKjs9NA94cUTfYBy4SZ6,A,ok,True,False,True,HIGH,14531.11199729578,76.05159434881104,4770.66382126752,0.0,True
7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,954862809,BGYDRS1JHVqCXjTGNQ79QYQs8YxSg1RPicQfpZcNdkSC,A,ok,True,True,False,MEDIUM,3627.995642952904,387.6399806390803,70980.44365224378,0.0,False
7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,954862809,GEetNkwTCXTeChGjxfkGoZUHWkYBmBJhRKcQF7Fe7LDa,A,ok,True,False,True,HIGH,3141.196984162497,295.4274191359468,11807.210946994066,0.0,False
7N6LiPfbb9PPhvQ5wRVMGPyQucbY52ExKcKsVs6Cpump,VILLAGEBOY,VILLAGE BOY,999738972,6oKYheo37u4zqPmNHrE6fmhFd4TKzgjJcjp5XDc8jZuX,A,ok,False,False,True,HIGH,,,0.0,0.0,False
7uWrUDU62Bxfcm5VyQo3UG6qCky7mXEgVV892bWspump,CME,CME COIN,999995471,2WTfeKTW47SEbJMxweafiQpR9vCnNijNS2htdKZUqLjp,B,ok,False,False,True,HIGH,80495.6758191811,,0.0,3560808.406172016,False
86CFcbZBJAqGVnfgnLNcw3tPmfaTigAR2UxbUPYTpump,LUKE,Luke Belmar,999884720,yHCxHBEaJW5tbndqC8JciSThr7U1cqLpdcsvHcx6PRe,B,ok,False,False,True,HIGH,,,0.0,9834208.7260839,False
8H9RDAUyYNMr6Y6nsBb8bBV45XnpW9VQfCKFbyfhpump,BEAR,Nietzschean Bear,999855578,B2VWfesGRFKEUASy1QZ8TJcNKFmkNiMX3Gjir9Nh7nxZ,B,ok,True,False,True,HIGH,11322.545002864075,770.042567120327,4995.17241955544,70651.54602488854,False
8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,PENGUIN,Nietzschean Penguin,999920997,5dbKD19c9nnWYj9qwpGHYVzrbaqmzhM3niU3YijEJfHS,A,ok,True,False,True,HIGH,5815.448235360224,183.79681970132205,1.3329721940354684e-12,17223.538270639674,True
8SC9X2zQLpdDsDF1h79HZtPqLGoYYqz5dJivbyqPpump,Theitle,A Rong Time Ago Cat,1987255332,5K4xzCEjg37SVK3MFSkngwRaSKUnj4rAPxt15c36mbCC,A,ok,False,False,True,HIGH,,,0.0,0.0,False
92tbcNAx7MhZbme3EP6BisYgD9SweTPsGvC7GbTdpump,MOLTMATCH,moltmatch coin,999968520,Dr4Rwx8iADYJkpjQz64pEU5bzN3D2rDjUaHG8hVBhNE7,B,ok,False,False,True,HIGH,1129583.1465512903,,0.0,4170595.333074885,False
98uAmduqPmP6ruqvrnkmcAVeZAWF1oUVRn765Cybpump,Animals,Political Animals,999955720,HtjtAmunWehVz4dk91FKkWkk2uMjPmbixtRaziwTTo43,B,ok,True,False,True,HIGH,9876.999112857411,1284.015405106631,950.6311602775212,1293700.9674625297,False
9FssA1B7EhdWCt7rT4RtovYbWdKg3gog1wpXWuqHpump,PTROLL,PTROLL,999946893,Dfvi8tHcauKR49puo2aG8MxzgQYF4F7iTqVxQsRYbhj9,A,ok,False,False,True,HIGH,,,0.0,0.0,False
